question_id,question_text,category,weight,positive_direction,red_flag,early_stop,answer_type

C1,Do you feel heard when you express concerns?,Communication,8,1,0,0
C2,Do you resolve arguments without lasting resentment?,Communication,7,1,0,0
C3,Do you and your partner communicate openly about feelings?,Communication,7,1,0,0
C4,Can you share difficult topics without fear?,Communication,8,1,0,0
C5,Do you feel your opinions are valued during disagreements?,Communication,6,1,0,0
C6,Is there avoidance or silent treatment after arguments?,Communication,7,0,0,0
C7,Is honesty prioritized in your conversations?,Communication,6,1,0,0
C8,Do you feel blamed for most issues in the relationship?,Communication,7,0,0,0
C9,Are conversations balanced allowing both to speak?,Communication,5,1,0,0
C10,Do you avoid some topics out of fear?,Communication,5,0,0,0
C11,Do you feel your partner interrupts you often?,Communication,5,0,0,0
C12,Is your partner open to feedback without defensiveness?,Communication,6,1,0,0
C13,Are apologies given and accepted genuinely?,Communication,6,1,0,0
C14,Does your partner listen to understand not just to respond?,Communication,7,1,0,0
C15,Do disagreements escalate quickly?,Communication,6,0,0,0
C16,Is communication respectful and free of insults?,Communication,8,1,0,0
C17,Do you clarify misunderstandings promptly?,Communication,6,1,0,0
C18,Is sarcasm or mocking common in your conversations?,Communication,5,0,0,0
C19,Do talks about issues end with solutions?,Communication,6,1,0,0
C20,Are important conversations avoided?,Communication,5,0,0,0
T1,Do you trust this person completely? Trust,10,1,0,0
T2,Has this person ever lied to you about something important?,Trust,9,0,1,0
T3,Has your partner kept significant secrets from you?,Trust,8,0,0,0
T4,Are you comfortable sharing passwords or private information?,Trust,5,1,0,0
T5,Has jealousy ever caused problems in your relationship?,Trust,6,0,0,0
T6,Can you rely on your partner in times of need?,Trust,9,1,0,0
T7,Has your partner forgiven you for past mistakes?,Trust,6,1,0,0
T8,Has your partner accused you of cheating without reason?,Trust,7,0,0,0
T9,Does your partner respect your privacy?,Trust,8,1,0,0
T10,Are financial matters discussed honestly?,Trust,7,1,0,0
T11,Does your partner check your phone or social media without permission?,Trust,7,0,0,0
T12,Can you leave your partner alone with your friends and feel comfortable?,Trust,5,1,0,0
T13,Has your partner tried to control who you talk to?,Trust,6,0,0,0
T14,Is your partner open about their past?,Trust,6,1,0,0
T15,Are you able to be vulnerable without fear?,Trust,8,1,0,0
T16,Do arguments damage your trust for each other?,Trust,7,0,0,0
T17,Does your partner hide things from you?,Trust,6,0,0,0
T18,Are promises kept consistently?,Trust,8,1,0,0
T19,Do you worry your partner is unfaithful?,Trust,7,0,0,0
T20,Can you forgive mistakes and move forward?,Trust,6,1,0,0
R1,Does this person respect your boundaries?,Respect,8,1,0,0
R2,Does your partner listen to your needs regarding personal space?,Respect,7,1,0,0
R3,Are your beliefs and opinions respected even when you disagree?,Respect,6,1,0,0
R4,Does your partner try to change your views against your will?,Respect,8,0,0,0
R5,Are boundaries discussed and set clearly?,Respect,5,1,0,0
R6,Do you feel pressured to conform to your partner’s wishes?,Respect,6,0,0,0
R7,Are differences accepted without judgment?,Respect,6,1,0,0
R8,Is your partner comfortable with your autonomy?,Respect,7,1,0,0
R9,Do you feel your partner ignores your requests?,Respect,6,0,0,0
R10,Has your partner ever made fun of your values?,Respect,7,0,0,0
R11,Are your hobbies respected?,Respect,5,1,0,0
R12,Does your partner threaten to leave if you disagree?,Respect,8,0,0,0
R13,Can you ask for space without conflict?,Respect,6,1,0,0
R14,Does your partner invade your privacy?,Respect,7,0,0,0
R15,Are disagreements handled fairly?,Respect,6,1,0,0
R16,Does your partner allow you to make independent choices?,Respect,7,1,0,0
R17,Are family boundaries honored?,Respect,5,1,0,0
R18,Does your partner dismiss your opinions?,Respect,7,0,0,0
R19,Is your partner considerate of your feelings?,Respect,8,1,0,0
R20,Are expectations discussed and agreed upon?,Respect,6,1,0,0
K1,Do you share similar goals for the future?,Commitment,7,1,0,0
K2,Does this person make consistent effort in the relationship?,Commitment,8,1,0,0
K3,Do you feel equally prioritized in the relationship?,Commitment,7,1,0,0
K4,Are future plans made jointly?,Commitment,7,1,0,0
K5,Does your partner frequently cancel plans without explanation?,Commitment,5,0,0,0
K6,Is your partner consistent in showing commitment?,Commitment,8,1,0,0
